county,office,district,party,candidate,votes
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,St. Charles,2711
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,83559,835
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,64552,101
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,2158,44
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,709,1
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,1,0
ST. CLAIR,"Shelby,1753,479,53,13,0,0,0",,,0,0
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,St. Charles,12552
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,83559,5197
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,64552,338
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,2158,151
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,709,0
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,1,0
ST. FRANCOIS,"Shelby,1753,479,53,13,0,0,0",,,0,0
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,St. Charles,137197
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,83559,226772
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,64552,4098
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,2158,1548
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,709,7
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,1,3
ST. LOUIS,"Shelby,1753,479,53,13,0,0,0",,,0,0
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,St. Charles,12835
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,83559,69839
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,64552,1098
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,2158,324
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,709,0
ST. LOUIS CITY,"Shelby,1753,479,53,13,0,0,0",,,1,0
