"State Representative
District 153","Republican
Darrell Atchison","Total"
"Carter","1676","1676"
"Howell","221","221"
"Oregon","2589","2589"
"Ripley","3289","3289"
"Shannon","852","852"
"Wayne","3392","3392"
"Total","12019","12019"
