"Nonpartisan Judge
Missouri Supreme Court
Robin Ransom","YES","NO","Total"
"Daviess","1672","654","2326"
"De Kalb","2182","789","2971"
"Dent","2938","1366","4304"
"Douglas","3205","1061","4266"
"Dunklin","4283","1096","5379"
"Franklin","21853","10169","32022"
"Gasconade","3127","1636","4763"
"Gentry","1487","502","1989"
"Greene","62344","22145","84489"
"Grundy","1932","909","2841"
"Harrison","1578","718","2296"
"Henry","4496","2063","6559"
"Hickory","2222","894","3116"
"Holt","1112","327","1439"
"Howard","2340","839","3179"
"Howell","9009","2482","11491"
"Iron","1752","789","2541"
"Jackson","73953","38410","112363"
"Jasper","21936","8784","30720"
"Jefferson","42907","23499","66406"
"Johnson","10481","3547","14028"
"Kansas City","55074","21709","76783"
"Knox","753","301","1054"
"Laclede","8311","2438","10749"
"Lafayette","7279","3390","10669"
"Lawrence","8655","2338","10993"
"Lewis","2191","562","2753"
"Lincoln","11462","5878","17340"
"Linn","2531","986","3517"
"Livingston","2911","1218","4129"
