"Constitutional
Convention Question","YES","NO","Total"
"De Kalb","1000","2268","3268"
"Dent","1287","3471","4758"
"Douglas","1283","3489","4772"
"Dunklin","2021","3883","5904"
"Franklin","10439","24856","35295"
"Gasconade","1465","3877","5342"
"Gentry","665","1561","2226"
"Greene","32233","61225","93458"
"Grundy","857","2220","3077"
"Harrison","676","1879","2555"
"Henry","2318","4961","7279"
"Hickory","984","2533","3517"
"Holt","494","1096","1590"
"Howard","1071","2580","3651"
"Howell","3610","9071","12681"
"Iron","821","2053","2874"
"Jackson","38931","85801","124732"
"Jasper","10916","22272","33188"
"Jefferson","23185","51283","74468"
"Johnson","4900","9936","14836"
"Kansas City","23187","59130","82317"
"Knox","354","926","1280"
"Laclede","3407","7644","11051"
"Lafayette","3644","7859","11503"
"Lawrence","4009","8050","12059"
"Lewis","1031","1992","3023"
"Lincoln","5966","13133","19099"
"Linn","1171","2774","3945"
"Livingston","1375","3145","4520"
"Macon","1362","4021","5383"
"Madison","980","2574","3554"
