"State Representative
District 80","Republican
Kirk Hilzinger","Democratic
Peter J. Merideth","Libertarian
Rebecca Sharpe Lombard","Total"
"St. Louis City","1525","8859","329","10713"
"Total","1525","8859","329","10713"
