"Constitutional Amendment
Amendment 3","YES","NO","Total"
"Adair","2984","4066","7050"
"Andrew","2850","3845","6695"
"Atchison","769","1136","1905"
"Audrain","3078","4346","7424"
"Barry","4017","6947","10964"
"Barton","1232","3077","4309"
"Bates","2578","3190","5768"
"Benton","3450","4280","7730"
"Bollinger","1467","2643","4110"
"Boone","39099","23621","62720"
"Buchanan","12635","11923","24558"
"Butler","4694","6662","11356"
"Caldwell","1567","1843","3410"
"Callaway","7056","7887","14943"
"Camden","8669","9591","18260"
"Cape Girardeau","12173","15543","27716"
"Carroll","1253","2072","3325"
"Carter","736","1133","1869"
"Cass","21331","18383","39714"
"Cedar","1957","3162","5119"
"Chariton","953","1825","2778"
"Christian","14056","19154","33210"
"Clark","1023","1306","2329"
"Clay","53531","33697","87228"
"Clinton","3671","3840","7511"
"Cole","12503","15952","28455"
"Cooper","2605","3499","6104"
"Crawford","3091","4460","7551"
"Dade","1047","1945","2992"
"Dallas","2339","3418","5757"
"Daviess","1081","1604","2685"
