"Constitutional Amendment
Amendment 5","YES","NO","Total"
"Maries","2137","1188","3325"
"Marion","5254","3065","8319"
"McDonald","3856","1963","5819"
"Mercer","772","445","1217"
"Miller","5708","2732","8440"
"Mississippi","1826","924","2750"
"Moniteau","3131","1788","4919"
"Monroe","1957","1059","3016"
"Montgomery","2433","1482","3915"
"Morgan","4504","2225","6729"
"New Madrid","2743","1430","4173"
"Newton","12961","6407","19368"
"Nodaway","4491","2299","6790"
"Oregon","1713","1181","2894"
"Osage","3380","1977","5357"
"Ozark","2389","1133","3522"
"Pemiscot","2012","971","2983"
"Perry","3773","2150","5923"
"Pettis","8403","4405","12808"
"Phelps","8057","5033","13090"
"Pike","3130","1807","4937"
"Platte","23927","15778","39705"
"Polk","6442","3710","10152"
"Pulaski","6047","3273","9320"
"Putnam","1060","546","1606"
"Ralls","2473","1376","3849"
"Randolph","4815","2391","7206"
"Ray","5029","2578","7607"
"Reynolds","1415","789","2204"
"Ripley","2339","1230","3569"
"Saline","3923","2129","6052"
