"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 33
Jeffrey L. Bushur","YES","NO","Total"
"Jackson","60552","46820","107372"
"Kansas City","47468","26517","73985"
"Total","108020","73337","181357"
