"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 30
Twila Kay Rigby","YES","NO","Total"
"Jackson","62407","45567","107974"
"Kansas City","51743","22597","74340"
"Total","114150","68164","182314"
