"United States Senator","Write-In
Gina Bufe","Write-In
Martin Lindstedt","Write-In
Rik Combs","Write-In
Steve Price","Total"
"Maries","0","0","0","0","3454"
"Marion","0","0","0","0","8693"
"McDonald","0","0","0","0","6091"
"Mercer","0","0","0","0","1264"
"Miller","0","0","0","0","8739"
"Mississippi","0","0","0","0","2896"
"Moniteau","0","0","0","0","5128"
"Monroe","0","0","0","0","3158"
"Montgomery","0","0","0","0","4085"
"Morgan","0","0","0","0","6951"
"New Madrid","0","0","0","0","4412"
"Newton","0","0","0","0","19937"
"Nodaway","0","0","0","0","7061"
"Oregon","0","0","0","0","3071"
"Osage","0","0","0","0","5533"
"Ozark","0","0","0","0","3699"
"Pemiscot","0","0","0","0","3217"
"Perry","0","0","0","0","6340"
"Pettis","0","0","0","0","13152"
"Phelps","0","0","0","0","13618"
"Pike","0","0","0","0","5167"
"Platte","0","0","0","0","41120"
"Polk","0","0","0","0","10563"
"Pulaski","0","0","0","0","9313"
"Putnam","0","0","0","0","1714"
"Ralls","0","0","0","0","3982"
"Randolph","0","0","0","0","7424"
"Ray","0","0","0","0","7939"
"Reynolds","0","0","0","0","2396"
"Ripley","0","0","0","0","3735"
"Saline","0","0","0","0","6278"
