"Nonpartisan Judge
Missouri Court of Appeals, Western District
Karen King Mitchell","YES","NO","Total"
"Adair","3540","2097","5637"
"Andrew","4184","1528","5712"
"Atchison","1267","342","1609"
"Bates","3188","1740","4928"
"Benton","4800","1898","6698"
"Boone","35132","12762","47894"
"Buchanan","15499","5613","21112"
"Caldwell","1871","1045","2916"
"Callaway","9309","3474","12783"
"Carroll","1950","973","2923"
"Cass","22503","11540","34043"
"Chariton","1529","769","2298"
"Clay","46889","29788","76677"
"Clinton","4309","2169","6478"
"Cole","17960","6808","24768"
"Cooper","4087","1340","5427"
"Daviess","1572","722","2294"
"De Kalb","2070","858","2928"
"Gentry","1442","533","1975"
"Grundy","1810","998","2808"
"Harrison","1522","759","2281"
"Henry","4372","2164","6536"
"Holt","963","451","1414"
"Howard","2245","864","3109"
"Jackson","66692","44064","110756"
"Johnson","10116","3876","13992"
"Kansas City","54167","21435","75602"
"Lafayette","6972","3656","10628"
"Linn","2399","1082","3481"
"Livingston","2862","1265","4127"
