"Constitutional
Convention Question","YES","NO","Total"
"Adair","1838","4826","6664"
"Andrew","2246","4167","6413"
"Atchison","639","1166","1805"
"Audrain","2093","5038","7131"
"Barry","3329","7211","10540"
"Barton","1152","3036","4188"
"Bates","1684","3801","5485"
"Benton","2495","4956","7451"
"Bollinger","1095","2895","3990"
"Boone","18164","40834","58998"
"Buchanan","8547","14915","23462"
"Butler","3491","7375","10866"
"Caldwell","1011","2266","3277"
"Callaway","4495","9875","14370"
"Camden","5710","11847","17557"
"Cape Girardeau","9369","17172","26541"
"Carroll","908","2289","3197"
"Carter","425","1321","1746"
"Cass","12701","25431","38132"
"Cedar","1481","3396","4877"
"Chariton","644","2018","2662"
"Christian","10736","21057","31793"
"Clark","741","1493","2234"
"Clay","26906","56625","83531"
"Clinton","2378","4835","7213"
"Cole","8473","18925","27398"
"Cooper","1697","4213","5910"
"Crawford","2138","5078","7216"
"Dade","863","2027","2890"
"Dallas","1751","3775","5526"
"Daviess","811","1750","2561"
