"Auditor","Republican
Scott Fitzpatrick","Democratic
Alan Green","Libertarian
John A. Hartwig Jr.","Write-In
Arnie C. Dienoff","Total"
"Adair","4611","2151","263","0","7025"
"Andrew","5076","1405","182","0","6663"
"Atchison","1513","348","38","0","1899"
"Audrain","5566","1655","207","0","7428"
"Barry","9200","1529","225","0","10954"
"Barton","3739","494","68","0","4301"
"Bates","4453","1076","171","0","5700"
"Benton","6005","1453","221","0","7679"
"Bollinger","3617","463","64","0","4144"
"Boone","28351","32189","2063","0","62603"
"Buchanan","15765","7777","770","0","24312"
"Butler","9513","1733","231","0","11477"
"Caldwell","2701","586","121","0","3408"
"Callaway","10789","3660","490","0","14939"
"Camden","13971","3725","485","0","18181"
"Cape Girardeau","21018","6132","625","0","27775"
"Carroll","2753","513","80","0","3346"
"Carter","1592","262","26","0","1880"
"Cass","26291","11787","1406","0","39484"
"Cedar","4198","750","145","0","5093"
"Chariton","2142","567","73","0","2782"
"Christian","25265","6911","953","0","33129"
"Clark","1828","428","79","0","2335"
"Clay","45777","37428","3397","0","86602"
"Clinton","5408","1861","234","0","7503"
"Cole","19744","7801","850","0","28395"
"Cooper","4526","1398","171","1","6096"
"Crawford","6066","1327","183","0","7576"
"Dade","2521","418","57","0","2996"
"Dallas","4642","894","162","0","5698"
"Daviess","2122","496","67","0","2685"
