"Constitutional
Convention Question","YES","NO","Total"
"Schuyler","447","983","1430"
"Scotland","393","891","1284"
"Scott","3617","7495","11112"
"Shannon","611","2120","2731"
"Shelby","547","1583","2130"
"St. Charles","48177","92892","141069"
"St. Clair","1028","2536","3564"
"St. Francois","5558","11865","17423"
"St. Louis","120266","230686","350952"
"St. Louis City","26440","51038","77478"
"Ste. Genevieve","1839","4280","6119"
"Stoddard","2658","5533","8191"
"Stone","4261","8910","13171"
"Sullivan","359","1279","1638"
"Taney","5687","11238","16925"
"Texas","2142","5777","7919"
"Vernon","1614","4325","5939"
"Warren","3729","8631","12360"
"Washington","1880","4732","6612"
"Wayne","1150","2730","3880"
"Webster","4269","9408","13677"
"Worth","230","590","820"
"Wright","1519","4431","5950"
"Total","633228","1330427","1963655"
