"Nonpartisan Judge
Missouri Court of Appeals, Southern District
Don Burrell","YES","NO","Total"
"Barry","7817","1898","9715"
"Barton","2955","813","3768"
"Bollinger","2818","804","3622"
"Butler","7110","3049","10159"
"Camden","11732","4118","15850"
"Carter","943","571","1514"
"Cedar","3483","1023","4506"
"Christian","23583","5533","29116"
"Crawford","4169","2421","6590"
"Dade","2076","549","2625"
"Dallas","4070","1104","5174"
"Dent","3055","1242","4297"
"Douglas","3347","938","4285"
"Dunklin","4344","1029","5373"
"Greene","63389","21438","84827"
"Hickory","2297","869","3166"
"Howell","9164","2374","11538"
"Iron","1763","769","2532"
"Jasper","22047","8571","30618"
"Laclede","8478","2269","10747"
"Lawrence","8987","2057","11044"
"Maries","1948","986","2934"
"McDonald","3775","1553","5328"
"Mississippi","1974","581","2555"
"New Madrid","2772","904","3676"
"Newton","12751","4851","17602"
"Oregon","1916","589","2505"
"Ozark","2377","698","3075"
"Pemiscot","1776","867","2643"
"Phelps","8293","3475","11768"
