"State Senator
District 18","Republican
Cindy Olaughlin","Democratic
Ayanna Shivers","Total"
"Adair","4637","2388","7025"
"Audrain","5160","2275","7435"
"Clark","1884","439","2323"
"Knox","1099","249","1348"
"Lewis","2477","649","3126"
"Macon","4345","1204","5549"
"Marion","6544","2064","8608"
"Monroe","2517","632","3149"
"Putnam","1433","253","1686"
"Ralls","3084","866","3950"
"Randolph","5690","1696","7386"
"Schuyler","1241","269","1510"
"Scotland","1050","287","1337"
"Shelby","1828","468","2296"
"Total","42989","13739","56728"
