"Constitutional Amendment
Amendment 5","YES","NO","Total"
"Adair","3995","2728","6723"
"Andrew","4597","1899","6496"
"Atchison","1253","578","1831"
"Audrain","4709","2452","7161"
"Barry","6837","3776","10613"
"Barton","2962","1236","4198"
"Bates","3754","1796","5550"
"Benton","5189","2335","7524"
"Bollinger","2609","1392","4001"
"Boone","32604","27194","59798"
"Buchanan","16933","6966","23899"
"Butler","7221","3840","11061"
"Caldwell","2182","1102","3284"
"Callaway","9331","5187","14518"
"Camden","11794","5900","17694"
"Cape Girardeau","17515","9306","26821"
"Carroll","2155","1078","3233"
"Carter","1010","764","1774"
"Cass","24901","13528","38429"
"Cedar","3127","1806","4933"
"Chariton","1682","994","2676"
"Christian","20403","11832","32235"
"Clark","1408","822","2230"
"Clay","52046","32756","84802"
"Clinton","4847","2409","7256"
"Cole","17219","10446","27665"
"Cooper","3921","2043","5964"
"Crawford","4490","2760","7250"
"Dade","1888","999","2887"
"Dallas","3539","2025","5564"
"Daviess","1760","834","2594"
