"U.S. Representative
District 3","Republican 
Blaine Luetkemeyer","Democratic
Bethany Mann","Write-In
Thomas Clapp","Total"
"Boone","16795","20426","0","37221"
"Callaway","10940","4022","0","14962"
"Camden","3748","1145","0","4893"
"Cole","20116","8302","0","28418"
"Cooper","4628","1487","0","6115"
"Crawford","6167","1412","0","7579"
"Gasconade","4674","1024","0","5698"
"Jefferson","16531","8172","0","24703"
"Maries","2881","558","0","3439"
"Miller","7391","1318","0","8709"
"Moniteau","4264","850","0","5114"
"Montgomery","3268","794","0","4062"
"Osage","4832","684","0","5516"
"St. Charles","66117","44243","0","110360"
"Warren","2978","1019","0","3997"
"Washington","5416","1395","0","6811"
"Total","180746","96851","0","277597"
