"Constitutional Amendment
Amendment 5","YES","NO","Total"
"De Kalb","2352","936","3288"
"Dent","2934","1845","4779"
"Douglas","2943","1843","4786"
"Dunklin","3979","1978","5957"
"Franklin","23148","12462","35610"
"Gasconade","3239","2168","5407"
"Gentry","1519","719","2238"
"Greene","57147","37582","94729"
"Grundy","1955","1143","3098"
"Harrison","1777","805","2582"
"Henry","4883","2396","7279"
"Hickory","2189","1334","3523"
"Holt","1153","471","1624"
"Howard","2265","1433","3698"
"Howell","8079","4666","12745"
"Iron","1801","1099","2900"
"Jackson","79839","46846","126685"
"Jasper","22108","11544","33652"
"Jefferson","48151","28126","76277"
"Johnson","10299","4986","15285"
"Kansas City","35322","47920","83242"
"Knox","786","499","1285"
"Laclede","7192","3941","11133"
"Lafayette","7647","3993","11640"
"Lawrence","7973","4132","12105"
"Lewis","1941","1090","3031"
"Lincoln","12550","6427","18977"
"Linn","2608","1350","3958"
"Livingston","2879","1693","4572"
"Macon","3636","1768","5404"
"Madison","2318","1270","3588"
