"Constitutional Amendment
Amendment 4","YES","NO","Total"
"Adair","4090","2733","6823"
"Andrew","4789","1783","6572"
"Atchison","1284","565","1849"
"Audrain","4733","2510","7243"
"Barry","6552","4023","10575"
"Barton","2889","1329","4218"
"Bates","3897","1702","5599"
"Benton","5385","2197","7582"
"Bollinger","2534","1490","4024"
"Boone","33011","27301","60312"
"Buchanan","17213","6957","24170"
"Butler","7161","3923","11084"
"Caldwell","2285","1048","3333"
"Callaway","9579","4955","14534"
"Camden","11945","5900","17845"
"Cape Girardeau","17941","9127","27068"
"Carroll","2167","1082","3249"
"Carter","989","810","1799"
"Cass","27199","11795","38994"
"Cedar","3203","1706","4909"
"Chariton","1706","995","2701"
"Christian","20298","11935","32233"
"Clark","1450","802","2252"
"Clay","55743","30322","86065"
"Clinton","5187","2187","7374"
"Cole","17660","9977","27637"
"Cooper","3840","2134","5974"
"Crawford","4490","2846","7336"
"Dade","1880","1037","2917"
"Dallas","3515","2040","5555"
"Daviess","1812","799","2611"
