"Circuit Judge
Circuit 20 Division 2","Republican
Ryan J. Helfrich","Democratic
Bill Stahlhuth","Total"
"Franklin","26693","9372","36065"
"Gasconade","4545","1021","5566"
"Osage","4636","740","5376"
"Total","35874","11133","47007"
