"Nonpartisan Judge
Missouri Supreme Court
Robin Ransom","YES","NO","Total"
"Reynolds","1294","572","1866"
"Ripley","2313","802","3115"
"Saline","3624","1741","5365"
"Schuyler","869","412","1281"
"Scotland","819","266","1085"
"Scott","7964","2274","10238"
"Shannon","1584","773","2357"
"Shelby","1311","559","1870"
"St. Charles","85926","37980","123906"
"St. Clair","2303","980","3283"
"St. Francois","10643","4943","15586"
"St. Louis","205891","99490","305381"
"St. Louis City","48641","23004","71645"
"Ste. Genevieve","3598","1832","5430"
"Stoddard","5776","1747","7523"
"Stone","9446","2344","11790"
"Sullivan","1043","477","1520"
"Taney","12142","3153","15295"
"Texas","5491","1680","7171"
"Vernon","4352","1277","5629"
"Warren","7253","3791","11044"
"Washington","3900","2064","5964"
"Wayne","2557","886","3443"
"Webster","9424","3130","12554"
"Worth","483","249","732"
"Wright","3776","1687","5463"
"Total","1239950","525084","1765034"
