"Nonpartisan Judge
Missouri Court of Appeals, Western District
Mark D. Pfeiffer","YES","NO","Total"
"Adair","3505","2143","5648"
"Andrew","4218","1510","5728"
"Atchison","1282","326","1608"
"Bates","3169","1748","4917"
"Benton","4856","1884","6740"
"Boone","33948","14046","47994"
"Buchanan","15404","5738","21142"
"Caldwell","1870","1037","2907"
"Callaway","9250","3465","12715"
"Carroll","1982","937","2919"
"Cass","22369","11746","34115"
"Chariton","1552","743","2295"
"Clay","44496","31708","76204"
"Clinton","4337","2151","6488"
"Cole","17881","6833","24714"
"Cooper","4128","1300","5428"
"Daviess","1579","729","2308"
"De Kalb","2082","850","2932"
"Gentry","1465","506","1971"
"Grundy","1810","1017","2827"
"Harrison","1526","756","2282"
"Henry","4324","2199","6523"
"Holt","997","413","1410"
"Howard","2264","847","3111"
"Jackson","60566","49496","110062"
"Johnson","10117","3883","14000"
"Kansas City","47566","27760","75326"
"Lafayette","6961","3673","10634"
"Linn","2404","1094","3498"
"Livingston","2865","1255","4120"
