"Nonpartisan Judge
Missouri Court of Appeals, Southern District
Jack Goodman","YES","NO","Total"
"Barry","8289","1710","9999"
"Barton","2962","811","3773"
"Bollinger","2823","798","3621"
"Butler","7251","2930","10181"
"Camden","11943","3924","15867"
"Carter","956","568","1524"
"Cedar","3489","1012","4501"
"Christian","23532","5534","29066"
"Crawford","4220","2369","6589"
"Dade","2083","545","2628"
"Dallas","4103","1072","5175"
"Dent","3073","1219","4292"
"Douglas","3357","913","4270"
"Dunklin","4371","998","5369"
"Greene","62247","21820","84067"
"Hickory","2314","845","3159"
"Howell","9210","2321","11531"
"Iron","1782","758","2540"
"Jasper","22224","8472","30696"
"Laclede","8448","2238","10686"
"Lawrence","9802","1715","11517"
"Maries","1965","979","2944"
"McDonald","3916","1464","5380"
"Mississippi","2000","546","2546"
"New Madrid","2808","860","3668"
"Newton","13033","4648","17681"
"Oregon","1923","576","2499"
"Ozark","2393","686","3079"
"Pemiscot","1795","852","2647"
"Phelps","8311","3467","11778"
