"Nonpartisan Judge
Missouri Supreme Court
Robin Ransom","YES","NO","Total"
"Adair","3914","1790","5704"
"Andrew","4395","1392","5787"
"Atchison","1381","276","1657"
"Audrain","4561","1741","6302"
"Barry","7551","2126","9677"
"Barton","2821","964","3785"
"Bates","3396","1620","5016"
"Benton","4920","1815","6735"
"Bollinger","2716","884","3600"
"Boone","37548","12286","49834"
"Buchanan","15805","5413","21218"
"Butler","7147","3039","10186"
"Caldwell","2006","929","2935"
"Callaway","9909","3308","13217"
"Camden","11587","4284","15871"
"Cape Girardeau","17746","5891","23637"
"Carroll","1988","959","2947"
"Carter","945","567","1512"
"Cass","24047","10230","34277"
"Cedar","3344","1137","4481"
"Chariton","1650","691","2341"
"Christian","22731","6245","28976"
"Clark","1425","586","2011"
"Clay","50522","27050","77572"
"Clinton","4552","1980","6532"
"Cole","18800","6275","25075"
"Cooper","4221","1267","5488"
"Crawford","4194","2379","6573"
"Dade","2008","611","2619"
"Dallas","3887","1260","5147"
