"Nonpartisan Judge
Missouri Supreme Court
Zel M Fisher","YES","NO","Total"
"Macon","3822","1203","5025"
"Madison","2268","990","3258"
"Maries","1971","1002","2973"
"Marion","5720","1686","7406"
"McDonald","3800","1580","5380"
"Mercer","736","359","1095"
"Miller","5791","1806","7597"
"Mississippi","2017","572","2589"
"Moniteau","3418","1054","4472"
"Monroe","1966","700","2666"
"Montgomery","2425","1121","3546"
"Morgan","4385","1562","5947"
"New Madrid","2806","930","3736"
"Newton","12753","4944","17697"
"Nodaway","4760","1518","6278"
"Oregon","1918","632","2550"
"Osage","3149","1610","4759"
"Ozark","2377","729","3106"
"Pemiscot","1758","906","2664"
"Perry","3939","1282","5221"
"Pettis","8743","3223","11966"
"Phelps","8404","3474","11878"
"Pike","3018","1401","4419"
"Platte","24410","11668","36078"
"Polk","6924","2502","9426"
"Pulaski","6452","1862","8314"
"Putnam","1087","340","1427"
"Ralls","2496","912","3408"
"Randolph","4844","1764","6608"
"Ray","4733","2306","7039"
