"U.S. Representative
District 7","Republican
Eric Burlison","Democratic
Kristen Radaker-Sheafer","Libertarian
Kevin Craig","Write-In
Roger A. Rekate","Total"
"Barry","8813","1792","321","0","10926"
"Christian","25059","7363","805","1","33228"
"Greene","58363","36863","2517","0","97743"
"Jasper","25657","8253","770","0","34680"
"Lawrence","10252","2036","240","0","12528"
"McDonald","5081","871","140","0","6092"
"Newton","15803","3771","352","0","19926"
"Stone","11132","2362","251","0","13745"
"Taney","14160","3247","307","0","17714"
"Webster","4272","927","166","0","5365"
"Total","178592","67485","5869","1","251947"
