"Constitutional Amendment
Amendment 4","YES","NO","Total"
"Maries","1938","1407","3345"
"Marion","5744","2673","8417"
"McDonald","3767","2139","5906"
"Mercer","765","459","1224"
"Miller","5482","2962","8444"
"Mississippi","1932","850","2782"
"Moniteau","3008","1919","4927"
"Monroe","1983","1077","3060"
"Montgomery","2446","1491","3937"
"Morgan","4433","2302","6735"
"New Madrid","2866","1340","4206"
"Newton","12869","6591","19460"
"Nodaway","4398","2431","6829"
"Oregon","1741","1188","2929"
"Osage","3166","2168","5334"
"Ozark","2314","1254","3568"
"Pemiscot","2087","939","3026"
"Perry","3917","2061","5978"
"Pettis","8574","4252","12826"
"Phelps","8319","4863","13182"
"Pike","3226","1746","4972"
"Platte","26192","14220","40412"
"Polk","6655","3599","10254"
"Pulaski","6160","2963","9123"
"Putnam","1061","562","1623"
"Ralls","2572","1293","3865"
"Randolph","4856","2421","7277"
"Ray","5289","2368","7657"
"Reynolds","1416","824","2240"
"Ripley","2306","1281","3587"
"Saline","3972","2124","6096"
