"Nonpartisan Judge
Missouri Court of Appeals, Eastern District
Kelly C. Broniec","YES","NO","Total"
"Audrain","4641","1667","6308"
"Cape Girardeau","17822","5599","23421"
"Clark","1445","554","1999"
"Franklin","21280","9688","30968"
"Gasconade","3104","1644","4748"
"Jefferson","43310","22809","66119"
"Knox","738","303","1041"
"Lewis","2176","557","2733"
"Lincoln","11439","5793","17232"
"Madison","2249","962","3211"
"Marion","5594","1670","7264"
"Monroe","1947","673","2620"
"Montgomery","2808","925","3733"
"Osage","3068","1653","4721"
"Perry","3807","1259","5066"
"Pike","2991","1393","4384"
"Ralls","2459","884","3343"
"Scotland","794","268","1062"
"Shelby","1293","551","1844"
"St. Charles","85500","37084","122584"
"St. Francois","10752","4797","15549"
"St. Louis","195851","104233","300084"
"St. Louis City","44642","25568","70210"
"Ste. Genevieve","3570","1810","5380"
"Warren","7357","3682","11039"
"Washington","3941","2021","5962"
"Total","484578","238047","722625"
