"Constitutional Amendment
Amendment 4","YES","NO","Total"
"Schuyler","896","548","1444"
"Scotland","827","458","1285"
"Scott","7573","3726","11299"
"Shannon","1460","1318","2778"
"Shelby","1365","825","2190"
"St. Charles","102081","43901","145982"
"St. Clair","2416","1164","3580"
"St. Francois","12120","5560","17680"
"St. Louis","221030","137085","358115"
"St. Louis City","39270","42466","81736"
"Ste. Genevieve","4071","2128","6199"
"Stoddard","5582","2741","8323"
"Stone","9252","4117","13369"
"Sullivan","1042","610","1652"
"Taney","11761","5452","17213"
"Texas","4769","3223","7992"
"Vernon","4072","1916","5988"
"Warren","8321","4365","12686"
"Washington","4458","2251","6709"
"Wayne","2491","1438","3929"
"Webster","8950","4816","13766"
"Worth","479","347","826"
"Wright","3713","2303","6016"
"Total","1269826","739783","2009609"
