"Nonpartisan Judge
Missouri Supreme Court
Robin Ransom","YES","NO","Total"
"Macon","3799","1197","4996"
"Madison","2199","1015","3214"
"Maries","1930","1012","2942"
"Marion","5661","1647","7308"
"McDonald","3750","1600","5350"
"Mercer","700","378","1078"
"Miller","5505","2001","7506"
"Mississippi","1917","621","2538"
"Moniteau","3300","1086","4386"
"Monroe","1955","682","2637"
"Montgomery","2416","1116","3532"
"Morgan","4216","1611","5827"
"New Madrid","2751","926","3677"
"Newton","12340","5277","17617"
"Nodaway","4595","1532","6127"
"Oregon","1882","625","2507"
"Osage","3077","1659","4736"
"Ozark","2293","783","3076"
"Pemiscot","1790","857","2647"
"Perry","3790","1355","5145"
"Pettis","8614","3301","11915"
"Phelps","8305","3513","11818"
"Pike","2965","1409","4374"
"Platte","24999","10886","35885"
"Polk","6829","2565","9394"
"Pulaski","5309","2605","7914"
"Putnam","1058","333","1391"
"Ralls","2481","855","3336"
"Randolph","4810","1716","6526"
"Ray","4598","2314","6912"
