"U.S. Representative
District 4","Republican
Mark Alford","Democratic
Jack Truman","Libertarian
Randy Langkraehr","Write-In
Darrell McClanahan","Write-In
David A. Haave","Write-In
Wyatt Parsons","Total"
"Barton","3699","531","66","0","0","0","4296"
"Bates","4651","988","119","0","0","0","5758"
"Benton","6022","1514","147","0","0","0","7683"
"Boone","11690","12938","766","0","0","0","25394"
"Camden","10309","2675","271","0","0","0","13255"
"Cass","26975","11764","951","0","0","0","39690"
"Cedar","4211","776","102","0","0","0","5089"
"Dade","2509","433","53","0","0","0","2995"
"Dallas","4669","917","133","0","0","0","5719"
"Henry","5643","1587","204","0","0","0","7434"
"Hickory","2907","665","68","0","0","0","3640"
"Howard","2651","1011","129","0","0","0","3791"
"Jackson","17012","9496","610","0","1","0","27119"
"Johnson","10849","4229","525","0","0","1","15604"
"Laclede","9453","1664","216","0","0","0","11333"
"Lafayette","8982","2785","262","0","0","0","12029"
"Morgan","5376","1311","173","0","0","0","6860"
"Pettis","9794","2935","342","0","0","0","13071"
"Polk","8400","1889","254","0","0","0","10543"
"Pulaski","7104","1643","213","0","0","0","8960"
"Saline","4374","1722","140","0","0","0","6236"
"St. Clair","2920","665","92","0","0","0","3677"
"Vernon","4789","1205","112","1","0","0","6107"
"Webster","6901","1726","169","0","0","0","8796"
"Total","181890","67069","6117","1","1","1","255079"
