"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 26
R. Travis Willingham","YES","NO","Total"
"Jackson","66791","40424","107215"
"Kansas City","48812","25389","74201"
"Total","115603","65813","181416"
