"Nonpartisan Judge
Missouri Court of Appeals, Western District
Doug Thomson","YES","NO","Total"
"Adair","3771","1834","5605"
"Andrew","4416","1324","5740"
"Atchison","1372","259","1631"
"Bates","3368","1585","4953"
"Benton","4970","1771","6741"
"Boone","33413","13968","47381"
"Buchanan","15840","5338","21178"
"Caldwell","2013","923","2936"
"Callaway","9456","3220","12676"
"Carroll","2043","889","2932"
"Cass","23720","10427","34147"
"Chariton","1639","669","2308"
"Clay","47868","28367","76235"
"Clinton","4554","1964","6518"
"Cole","18397","6335","24732"
"Cooper","4168","1264","5432"
"Daviess","1675","651","2326"
"De Kalb","2196","753","2949"
"Gentry","1526","486","2012"
"Grundy","1930","880","2810"
"Harrison","1599","693","2292"
"Henry","4577","1969","6546"
"Holt","1146","284","1430"
"Howard","2301","831","3132"
"Jackson","68854","40985","109839"
"Johnson","10464","3455","13919"
"Kansas City","48537","26620","75157"
"Lafayette","7237","3412","10649"
"Linn","2567","951","3518"
"Livingston","2968","1160","4128"
