"Constitutional Amendment
Amendment 1","YES","NO","Total"
"Adair","2647","4033","6680"
"Andrew","2975","3413","6388"
"Atchison","846","954","1800"
"Audrain","2920","4162","7082"
"Barry","4226","6331","10557"
"Barton","2042","2135","4177"
"Bates","2105","3345","5450"
"Benton","3161","4281","7442"
"Bollinger","1570","2384","3954"
"Boone","27033","31322","58355"
"Buchanan","11012","12309","23321"
"Butler","4111","6802","10913"
"Caldwell","1287","1982","3269"
"Callaway","6099","8176","14275"
"Camden","7828","9570","17398"
"Cape Girardeau","13049","13358","26407"
"Carroll","1365","1848","3213"
"Carter","497","1249","1746"
"Cass","17258","20600","37858"
"Cedar","1803","3028","4831"
"Chariton","1024","1630","2654"
"Christian","14207","17766","31973"
"Clark","929","1311","2240"
"Clay","39058","44906","83964"
"Clinton","3052","4141","7193"
"Cole","12237","15113","27350"
"Cooper","2433","3413","5846"
"Crawford","2470","4788","7258"
"Dade","1179","1685","2864"
"Dallas","2008","3525","5533"
"Daviess","1098","1467","2565"
