"Nonpartisan Judge
Missouri Court of Appeals, Eastern District
John P. Torbitzky","YES","NO","Total"
"Audrain","4397","1810","6207"
"Cape Girardeau","17444","5882","23326"
"Clark","1403","591","1994"
"Franklin","20507","10050","30557"
"Gasconade","3057","1669","4726"
"Jefferson","41706","23778","65484"
"Knox","720","317","1037"
"Lewis","2134","591","2725"
"Lincoln","11162","6007","17169"
"Madison","2184","1028","3212"
"Marion","5482","1748","7230"
"Monroe","1888","714","2602"
"Montgomery","2389","1126","3515"
"Osage","3041","1676","4717"
"Perry","3689","1348","5037"
"Pike","2896","1434","4330"
"Ralls","2402","922","3324"
"Scotland","753","300","1053"
"Shelby","1247","586","1833"
"St. Charles","82554","39406","121960"
"St. Francois","10477","4994","15471"
"St. Louis","183681","113038","296719"
"St. Louis City","41878","27988","69866"
"Ste. Genevieve","3385","1949","5334"
"Warren","7105","3841","10946"
"Washington","3858","2103","5961"
"Total","461439","254896","716335"
