"Nonpartisan Judge
Missouri Court of Appeals, Western District
Mark D. Pfeiffer","YES","NO","Total"
"Macon","3196","1706","4902"
"Mercer","705","375","1080"
"Miller","5331","2059","7390"
"Moniteau","3177","1158","4335"
"Morgan","4061","1691","5752"
"Nodaway","4485","1609","6094"
"Pettis","8188","3372","11560"
"Platte","23270","12225","35495"
"Putnam","1056","320","1376"
"Randolph","4576","1895","6471"
"Ray","4410","2451","6861"
"Saline","3484","1832","5316"
"Schuyler","755","442","1197"
"Sullivan","972","520","1492"
"Vernon","3904","1681","5585"
"Worth","471","257","728"
"Total","392814","215386","608200"
