"Nonpartisan Judge
Missouri Court of Appeals, Western District
Karen King Mitchell","YES","NO","Total"
"Macon","3173","1745","4918"
"Mercer","686","389","1075"
"Miller","5279","2132","7411"
"Moniteau","3161","1181","4342"
"Morgan","4065","1696","5761"
"Nodaway","4430","1659","6089"
"Pettis","8227","3395","11622"
"Platte","24166","11534","35700"
"Putnam","973","394","1367"
"Randolph","4525","1915","6440"
"Ray","4368","2505","6873"
"Saline","3487","1820","5307"
"Schuyler","755","442","1197"
"Sullivan","955","541","1496"
"Vernon","3879","1704","5583"
"Worth","456","273","729"
"Total","409806","199938","609744"
