"Constitutional Amendment
Amendment 1","YES","NO","Total"
"Maries","1114","2188","3302"
"Marion","3835","4381","8216"
"McDonald","2248","3536","5784"
"Mercer","428","778","1206"
"Miller","3316","5024","8340"
"Mississippi","1171","1565","2736"
"Moniteau","1838","2984","4822"
"Monroe","1202","1793","2995"
"Montgomery","1479","2392","3871"
"Morgan","2511","4068","6579"
"New Madrid","1587","2486","4073"
"Newton","8058","11135","19193"
"Nodaway","2967","3756","6723"
"Oregon","914","1937","2851"
"Osage","1996","3271","5267"
"Ozark","1564","1939","3503"
"Pemiscot","1225","1726","2951"
"Perry","2451","3339","5790"
"Pettis","5464","7107","12571"
"Phelps","5493","7473","12966"
"Pike","1897","3009","4906"
"Platte","20347","18942","39289"
"Polk","4084","6023","10107"
"Pulaski","3697","5252","8949"
"Putnam","682","884","1566"
"Ralls","1519","2262","3781"
"Randolph","2945","4216","7161"
"Ray","3039","4552","7591"
"Reynolds","743","1422","2165"
"Ripley","1225","2281","3506"
"Saline","2436","3569","6005"
