"Nonpartisan Judge
Missouri Supreme Court
Zel M Fisher","YES","NO","Total"
"Reynolds","1332","567","1899"
"Ripley","2429","739","3168"
"Saline","3601","1788","5389"
"Schuyler","873","415","1288"
"Scotland","815","275","1090"
"Scott","8138","2208","10346"
"Shannon","1632","764","2396"
"Shelby","1322","581","1903"
"St. Charles","85180","40300","125480"
"St. Clair","2367","934","3301"
"St. Francois","10862","4957","15819"
"St. Louis","189454","118183","307637"
"St. Louis City","40916","30399","71315"
"Ste. Genevieve","3704","1829","5533"
"Stoddard","5964","1632","7596"
"Stone","9661","2286","11947"
"Sullivan","1050","480","1530"
"Taney","12456","3031","15487"
"Texas","5671","1579","7250"
"Vernon","4417","1248","5665"
"Warren","7346","3767","11113"
"Washington","4034","2025","6059"
"Wayne","2599","870","3469"
"Webster","9747","2902","12649"
"Worth","507","238","745"
"Wright","3894","1599","5493"
"Total","1211424","569032","1780456"
