"Auditor","Republican
Scott Fitzpatrick","Democratic
Alan Green","Libertarian
John A. Hartwig Jr.","Write-In
Arnie C. Dienoff","Total"
"Schuyler","1215","238","57","0","1510"
"Scotland","1105","222","32","0","1359"
"Scott","9392","2006","178","0","11576"
"Shannon","2318","513","50","0","2881"
"Shelby","1809","405","71","0","2285"
"St. Charles","90102","54456","4691","3","149252"
"St. Clair","2877","693","115","0","3685"
"St. Francois","13195","4368","528","0","18091"
"St. Louis","152902","202506","10680","1","366089"
"St. Louis City","14662","66095","2439","0","83196"
"Ste. Genevieve","4490","1823","177","0","6490"
"Stoddard","7436","1056","129","0","8621"
"Stone","11255","2220","274","0","13749"
"Sullivan","1402","299","32","0","1733"
"Taney","14224","3091","395","0","17710"
"Texas","6879","1128","202","0","8209"
"Vernon","4826","1151","131","0","6108"
"Warren","9553","3132","404","0","13089"
"Washington","5446","1198","192","0","6836"
"Wayne","3439","560","52","0","4051"
"Webster","11235","2493","415","0","14143"
"Worth","673","160","26","0","859"
"Wright","5375","685","159","0","6219"
"Total","1219553","772005","61329","7","2052894"
