"Nonpartisan Judge
Missouri Supreme Court
Zel M Fisher","YES","NO","Total"
"Daviess","1710","670","2380"
"De Kalb","2246","770","3016"
"Dent","3070","1271","4341"
"Douglas","3330","998","4328"
"Dunklin","4366","1068","5434"
"Franklin","21998","10093","32091"
"Gasconade","3185","1620","4805"
"Gentry","1553","495","2048"
"Greene","61806","22779","84585"
"Grundy","1941","926","2867"
"Harrison","1629","693","2322"
"Henry","4675","1983","6658"
"Hickory","2311","894","3205"
"Holt","1268","269","1537"
"Howard","2370","863","3233"
"Howell","9183","2463","11646"
"Iron","1776","806","2582"
"Jackson","70209","42454","112663"
"Jasper","21975","8863","30838"
"Jefferson","43487","24010","67497"
"Johnson","10439","3680","14119"
"Kansas City","48662","28489","77151"
"Knox","773","299","1072"
"Laclede","8364","2413","10777"
"Lafayette","7344","3387","10731"
"Lawrence","8929","2178","11107"
"Lewis","2206","582","2788"
"Lincoln","11610","5827","17437"
"Linn","2579","1021","3600"
"Livingston","2946","1214","4160"
