"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 27
Kea S. Bird-Riley","YES","NO","Total"
"Jackson","66666","40848","107514"
"Kansas City","54463","20032","74495"
"Total","121129","60880","182009"
