"Constitutional Amendment
Amendment 1","YES","NO","Total"
"De Kalb","1301","1938","3239"
"Dent","1786","2931","4717"
"Douglas","1663","3071","4734"
"Dunklin","2448","3393","5841"
"Franklin","15980","19058","35038"
"Gasconade","1976","3410","5386"
"Gentry","946","1262","2208"
"Greene","39972","53913","93885"
"Grundy","1208","1870","3078"
"Harrison","1111","1444","2555"
"Henry","3055","4166","7221"
"Hickory","1174","2333","3507"
"Holt","720","875","1595"
"Howard","1423","2215","3638"
"Howell","4765","7806","12571"
"Iron","977","1869","2846"
"Jackson","61686","62606","124292"
"Jasper","14493","18878","33371"
"Jefferson","32675","42090","74765"
"Johnson","6908","8122","15030"
"Kansas City","37573","45295","82868"
"Knox","454","808","1262"
"Laclede","4325","6710","11035"
"Lafayette","5006","6526","11532"
"Lawrence","4968","7009","11977"
"Lewis","1261","1751","3012"
"Lincoln","8306","10497","18803"
"Linn","1687","2231","3918"
"Livingston","1824","2690","4514"
"Macon","2444","2888","5332"
"Madison","1234","2290","3524"
