"Nonpartisan Judge
Circuit Judge - Circuit 16 Division 12
Jennifer M. Phillips","YES","NO","Total"
"Jackson","63669","44338","108007"
"Kansas City","52077","22878","74955"
"Total","115746","67216","182962"
