"State Representative
District 57","Republican
Rodger L. Reedy","Libertarian
William Truman (Bill) Wayne","Total"
"Benton","5285","886","6171"
"Johnson","3236","869","4105"
"Pettis","2202","348","2550"
"Total","10723","2103","12826"
