"United States Senator","Write-In
Gina Bufe","Write-In
Martin Lindstedt","Write-In
Rik Combs","Write-In
Steve Price","Total"
"Schuyler","0","0","0","0","1530"
"Scotland","0","0","0","0","1360"
"Scott","0","0","0","0","11625"
"Shannon","0","0","0","0","2910"
"Shelby","0","0","0","0","2298"
"St. Charles","0","0","0","0","150979"
"St. Clair","0","0","0","0","3692"
"St. Francois","0","0","0","0","18238"
"St. Louis","3","0","0","0","369628"
"St. Louis City","0","0","0","0","84096"
"Ste. Genevieve","0","0","0","0","6640"
"Stoddard","0","0","0","5","8637"
"Stone","0","0","0","0","13809"
"Sullivan","0","0","0","0","1744"
"Taney","0","0","0","0","17795"
"Texas","0","0","0","0","8257"
"Vernon","0","0","0","0","6156"
"Warren","0","0","0","0","13172"
"Washington","0","0","0","0","6934"
"Wayne","0","0","0","1","4064"
"Webster","0","0","0","0","14206"
"Worth","0","0","0","0","863"
"Wright","0","0","0","0","6244"
"Total","5","0","6","9","2069130"
