"Nonpartisan Judge
Missouri Court of Appeals, Western District
Alok Ahuja","YES","NO","Total"
"Macon","3379","1547","4926"
"Mercer","622","458","1080"
"Miller","4856","2583","7439"
"Moniteau","2970","1414","4384"
"Morgan","3793","2008","5801"
"Nodaway","4184","1912","6096"
"Pettis","7906","3725","11631"
"Platte","24642","11290","35932"
"Putnam","952","436","1388"
"Randolph","4327","2165","6492"
"Ray","4245","2675","6920"
"Saline","3284","2056","5340"
"Schuyler","692","527","1219"
"Sullivan","877","627","1504"
"Vernon","3622","1967","5589"
"Worth","423","308","731"
"Total","414478","198954","613432"
