"State Senator
District 12","Republican
Rusty Black","Democratic
Michael J. Baumli","Total"
"Andrew","5265","1444","6709"
"Atchison","1591","329","1920"
"Buchanan","1839","501","2340"
"Caldwell","2872","539","3411"
"Carroll","2841","495","3336"
"Chariton","2266","523","2789"
"Clinton","5537","1930","7467"
"Daviess","2226","472","2698"
"De Kalb","2772","561","3333"
"Gentry","1907","416","2323"
"Grundy","2767","438","3205"
"Harrison","2388","339","2727"
"Holt","1469","201","1670"
"Linn","3309","823","4132"
"Livingston","4006","730","4736"
"Mercer","1098","161","1259"
"Nodaway","5151","1915","7066"
"Sullivan","1471","270","1741"
"Worth","695","167","862"
"Total","51470","12254","63724"
