"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 31
Mary Frances Weir","YES","NO","Total"
"Jackson","62845","44875","107720"
"Kansas City","53525","20914","74439"
"Total","116370","65789","182159"
