"Nonpartisan Judge
Associate Circuit Judge - Circuit 16 Division 25
Jessica Agnelly Krawczyk","YES","NO","Total"
"Jackson","71053","36838","107891"
"Kansas City","54965","20112","75077"
"Total","126018","56950","182968"
