"Constitutional Amendment
Amendment 4","YES","NO","Total"
"De Kalb","2216","1105","3321"
"Dent","2855","1963","4818"
"Douglas","2842","1975","4817"
"Dunklin","4045","1966","6011"
"Franklin","24101","11698","35799"
"Gasconade","3200","2255","5455"
"Gentry","1579","672","2251"
"Greene","61055","34671","95726"
"Grundy","2060","1062","3122"
"Harrison","1842","768","2610"
"Henry","5117","2157","7274"
"Hickory","2220","1320","3540"
"Holt","1164","461","1625"
"Howard","2124","1582","3706"
"Howell","8276","4551","12827"
"Iron","1873","1057","2930"
"Jackson","83905","44438","128343"
"Jasper","22528","11352","33880"
"Jefferson","53006","23650","76656"
"Johnson","10526","4856","15382"
"Kansas City","32684","52126","84810"
"Knox","788","502","1290"
"Laclede","7195","3953","11148"
"Lafayette","8049","3688","11737"
"Lawrence","7717","4477","12194"
"Lewis","1987","1056","3043"
"Lincoln","13431","5857","19288"
"Linn","2648","1340","3988"
"Livingston","3032","1564","4596"
"Macon","3685","1731","5416"
"Madison","2196","1395","3591"
