"Nonpartisan Judge
Missouri Court of Appeals, Western District
Alok Ahuja","YES","NO","Total"
"Adair","3616","2066","5682"
"Andrew","4061","1683","5744"
"Atchison","1199","418","1617"
"Bates","3004","1981","4985"
"Benton","4524","2249","6773"
"Boone","36087","12200","48287"
"Buchanan","15131","6137","21268"
"Caldwell","1773","1172","2945"
"Callaway","8864","3970","12834"
"Carroll","1810","1125","2935"
"Cass","22822","11517","34339"
"Chariton","1470","853","2323"
"Clay","48883","28212","77095"
"Clinton","4181","2372","6553"
"Cole","17476","7375","24851"
"Cooper","3835","1599","5434"
"Daviess","1490","835","2325"
"De Kalb","1947","1009","2956"
"Gentry","1331","675","2006"
"Grundy","1703","1132","2835"
"Harrison","1377","921","2298"
"Henry","4172","2397","6569"
"Holt","969","455","1424"
"Howard","2154","994","3148"
"Jackson","71700","39471","111171"
"Johnson","9728","4292","14020"
"Kansas City","56545","19678","76223"
"Lafayette","6817","3840","10657"
"Linn","2319","1219","3538"
"Livingston","2716","1409","4125"
