"Nonpartisan Judge
Missouri Court of Appeals, Western District
Doug Thomson","YES","NO","Total"
"Macon","3720","1196","4916"
"Mercer","716","365","1081"
"Miller","5450","1961","7411"
"Moniteau","3279","1083","4362"
"Morgan","4226","1541","5767"
"Nodaway","5206","1206","6412"
"Pettis","8394","3127","11521"
"Platte","23817","11286","35103"
"Putnam","1063","317","1380"
"Randolph","4739","1742","6481"
"Ray","4688","2213","6901"
"Saline","3608","1702","5310"
"Schuyler","774","418","1192"
"Sullivan","1016","466","1482"
"Vernon","4344","1245","5589"
"Worth","509","230","739"
"Total","414134","193365","607499"
