"Nonpartisan Judge
Circuit Judge - Circuit 16 Division 9
Joel P. Fahnestock","YES","NO","Total"
"Jackson","61657","46703","108360"
"Kansas City","49840","24890","74730"
"Total","111497","71593","183090"
