"Constitutional Amendment
Amendment 3","YES","NO","Total"
"De Kalb","1310","2048","3358"
"Dent","1697","3280","4977"
"Douglas","1624","3396","5020"
"Dunklin","2752","3411","6163"
"Franklin","16015","20907","36922"
"Gasconade","1972","3682","5654"
"Gentry","844","1463","2307"
"Greene","51342","46419","97761"
"Grundy","1149","2056","3205"
"Harrison","867","1814","2681"
"Henry","3399","4149","7548"
"Hickory","1635","2036","3671"
"Holt","591","1073","1664"
"Howard","1765","2066","3831"
"Howell","5076","8149","13225"
"Iron","1356","1675","3031"
"Jackson","79122","51084","130206"
"Jasper","14227","20397","34624"
"Jefferson","43183","35945","79128"
"Johnson","8123","7529","15652"
"Kansas City","66748","18948","85696"
"Knox","481","892","1373"
"Laclede","4316","7014","11330"
"Lafayette","5784","6168","11952"
"Lawrence","4571","7922","12493"
"Lewis","1289","1862","3151"
"Lincoln","9610","10119","19729"
"Linn","1663","2466","4129"
"Livingston","1969","2764","4733"
"Macon","1813","3740","5553"
"Madison","1537","2134","3671"
