"U.S. Representative
District 6","Republican
Sam Graves","Democratic
Henry Martin","Libertarian
Edward A (Andy) Maidment","Total"
"Adair","4768","2171","142","7081"
"Andrew","5182","1405","148","6735"
"Atchison","1583","302","43","1928"
"Audrain","5569","1671","164","7404"
"Buchanan","15955","7946","654","24555"
"Caldwell","2801","542","79","3422"
"Carroll","2851","467","54","3372"
"Chariton","2243","525","45","2813"
"Clark","1906","392","50","2348"
"Clay","25535","14887","949","41371"
"Clinton","5537","1829","188","7554"
"Daviess","2182","473","57","2712"
"De Kalb","2744","532","99","3375"
"Gentry","1852","427","44","2323"
"Grundy","2711","454","65","3230"
"Harrison","2368","319","46","2733"
"Holt","1423","204","44","1671"
"Jackson","3113","1150","119","4382"
"Knox","1164","183","16","1363"
"Lewis","2591","535","57","3183"
"Lincoln","14681","4469","551","19701"
"Linn","3241","795","95","4131"
"Livingston","3892","803","76","4771"
"Macon","4531","977","81","5589"
"Marion","6790","1781","131","8702"
"Mercer","1097","152","17","1266"
"Monroe","2581","517","56","3154"
"Nodaway","5204","1737","132","7073"
"Pike","4020","1075","60","5155"
"Platte","22310","17827","870","41007"
"Putnam","1478","214","24","1716"
