"Constitutional Amendment
Amendment 3","YES","NO","Total"
"Schuyler","554","959","1513"
"Scotland","492","859","1351"
"Scott","4971","6529","11500"
"Shannon","1093","1793","2886"
"Shelby","701","1584","2285"
"St. Charles","82448","67388","149836"
"St. Clair","1634","2049","3683"
"St. Francois","9153","8962","18115"
"St. Louis","215896","150147","366043"
"St. Louis City","61096","22521","83617"
"Ste. Genevieve","2891","3692","6583"
"Stoddard","3280","5236","8516"
"Stone","5695","8018","13713"
"Sullivan","586","1129","1715"
"Taney","7320","10336","17656"
"Texas","2929","5296","8225"
"Vernon","2553","3560","6113"
"Warren","6113","6974","13087"
"Washington","3339","3586","6925"
"Wayne","1677","2341","4018"
"Webster","5752","8451","14203"
"Worth","302","546","848"
"Wright","1880","4339","6219"
"Total","1092432","965020","2057452"
