"Nonpartisan Judge
Missouri Court of Appeals, Eastern District
Michael E. Gardner","YES","NO","Total"
"Audrain","4502","1683","6185"
"Cape Girardeau","18362","5325","23687"
"Clark","1454","534","1988"
"Franklin","20881","9701","30582"
"Gasconade","3106","1609","4715"
"Jefferson","42356","23394","65750"
"Knox","748","283","1031"
"Lewis","2168","550","2718"
"Lincoln","11362","5827","17189"
"Madison","2234","964","3198"
"Marion","5560","1653","7213"
"Monroe","1931","662","2593"
"Montgomery","2436","1080","3516"
"Osage","3089","1616","4705"
"Perry","3858","1199","5057"
"Pike","2956","1389","4345"
"Ralls","2458","873","3331"
"Scotland","779","273","1052"
"Shelby","1286","548","1834"
"St. Charles","83062","39094","122156"
"St. Francois","10610","4759","15369"
"St. Louis","187579","111078","298657"
"St. Louis City","43292","26902","70194"
"Ste. Genevieve","3536","1811","5347"
"Warren","7164","3771","10935"
"Washington","3905","1998","5903"
"Total","470674","248576","719250"
