"Nonpartisan Judge
Missouri Court of Appeals, Eastern District
Thomas C. Clark, II","YES","NO","Total"
"Audrain","4522","1671","6193"
"Cape Girardeau","17573","5713","23286"
"Clark","1440","555","1995"
"Franklin","20987","9766","30753"
"Gasconade","3080","1641","4721"
"Jefferson","42161","23477","65638"
"Knox","744","289","1033"
"Lewis","2147","576","2723"
"Lincoln","11369","5825","17194"
"Madison","2200","998","3198"
"Marion","5540","1669","7209"
"Monroe","1910","681","2591"
"Montgomery","2443","1072","3515"
"Osage","3072","1640","4712"
"Perry","3756","1242","4998"
"Pike","2931","1413","4344"
"Ralls","2441","860","3301"
"Scotland","776","276","1052"
"Shelby","1261","567","1828"
"St. Charles","82701","39154","121855"
"St. Francois","10555","4790","15345"
"St. Louis","188860","109852","298712"
"St. Louis City","43543","26681","70224"
"Ste. Genevieve","3444","1846","5290"
"Warren","7186","3754","10940"
"Washington","3872","2051","5923"
"Total","470514","248059","718573"
