"United States Senator","Write-In
Gina Bufe","Write-In
Martin Lindstedt","Write-In
Rik Combs","Write-In
Steve Price","Total"
"Adair","0","0","0","0","7071"
"Andrew","0","0","0","0","6727"
"Atchison","0","0","0","0","1910"
"Audrain","0","0","0","0","7469"
"Barry","0","0","0","0","10973"
"Barton","0","0","0","0","4326"
"Bates","0","0","0","0","5766"
"Benton","0","0","0","0","7728"
"Bollinger","0","0","0","0","4168"
"Boone","0","0","0","0","63110"
"Buchanan","0","0","0","1","24570"
"Butler","0","0","0","0","11519"
"Caldwell","0","0","0","0","3432"
"Callaway","0","0","0","0","15003"
"Camden","1","0","0","0","18289"
"Cape Girardeau","0","0","0","0","27888"
"Carroll","0","0","0","0","3359"
"Carter","0","0","0","0","1911"
"Cass","0","0","0","0","39799"
"Cedar","0","0","0","0","5149"
"Chariton","0","0","0","0","2813"
"Christian","0","0","0","0","33300"
"Clark","0","0","0","0","2349"
"Clay","0","0","0","1","87406"
"Clinton","0","0","0","0","7569"
"Cole","0","0","6","0","28532"
"Cooper","0","0","0","0","6128"
"Crawford","0","0","0","0","7603"
"Dade","0","0","0","0","2997"
"Dallas","0","0","0","0","5752"
"Daviess","0","0","0","0","2709"
