"Auditor","Republican
Scott Fitzpatrick","Democratic
Alan Green","Libertarian
John A. Hartwig Jr.","Write-In
Arnie C. Dienoff","Total"
"Maries","2859","513","72","0","3444"
"Marion","6570","1886","194","0","8650"
"McDonald","5114","831","141","0","6086"
"Mercer","1072","150","37","1","1260"
"Miller","7142","1248","271","0","8661"
"Mississippi","2257","541","54","0","2852"
"Moniteau","4127","793","164","0","5084"
"Monroe","2487","566","81","0","3134"
"Montgomery","3210","759","89","0","4058"
"Morgan","5365","1270","211","0","6846"
"New Madrid","3375","917","74","0","4366"
"Newton","15917","3569","435","0","19921"
"Nodaway","5032","1807","165","0","7004"
"Oregon","2500","496","55","0","3051"
"Osage","4776","636","96","0","5508"
"Ozark","3087","496","92","0","3675"
"Pemiscot","2490","678","31","0","3199"
"Perry","5214","984","97","0","6295"
"Pettis","9757","2812","469","0","13038"
"Phelps","9627","3509","426","0","13562"
"Pike","3939","1068","134","0","5141"
"Platte","21843","17909","1172","0","40924"
"Polk","8382","1835","318","0","10535"
"Pulaski","7054","1845","385","0","9284"
"Putnam","1410","217","73","0","1700"
"Ralls","3076","780","110","0","3966"
"Randolph","5579","1573","237","0","7389"
"Ray","5490","1999","332","0","7821"
"Reynolds","1885","420","41","0","2346"
"Ripley","3077","561","74","0","3712"
"Saline","4297","1661","285","0","6243"
