"Nonpartisan Judge
Missouri Supreme Court
Zel M Fisher","YES","NO","Total"
"Adair","3910","1843","5753"
"Andrew","4502","1383","5885"
"Atchison","1688","186","1874"
"Audrain","4604","1791","6395"
"Barry","7737","2045","9782"
"Barton","2972","847","3819"
"Bates","3460","1608","5068"
"Benton","5109","1769","6878"
"Bollinger","2839","820","3659"
"Boone","34724","15314","50038"
"Buchanan","16090","5660","21750"
"Butler","7188","3043","10231"
"Caldwell","2055","936","2991"
"Callaway","9917","3358","13275"
"Camden","12064","4032","16096"
"Cape Girardeau","18048","5900","23948"
"Carroll","2025","937","2962"
"Carter","950","584","1534"
"Cass","24165","10691","34856"
"Cedar","3477","1070","4547"
"Chariton","1691","683","2374"
"Christian","23294","5954","29248"
"Clark","1491","551","2042"
"Clay","48324","29937","78261"
"Clinton","4681","1980","6661"
"Cole","19007","6402","25409"
"Cooper","4239","1279","5518"
"Crawford","4267","2376","6643"
"Dade","2063","582","2645"
"Dallas","4042","1159","5201"
