"State Representative
District 127","Republican
Ann Kelley","Democratic
Marvin Manring","Total"
"Barton","3824","481","4305"
"Cedar","1448","599","2047"
"Dade","2583","400","2983"
"Jasper","3698","544","4242"
"Total","11553","2024","13577"
